      Income($)        Rate(%)          Years   Total Interest($)    Total Payment($)  Monthly Payment($)
       10000.00           6.00             30            11583.82                 360               59.96
      150000.00           5.50             20            97639.43                 240             1031.83
       12923.00           4.00             15             4283.18                 180               95.59
      120000.00           7.50             10            50930.55                 120             1424.42
      140002.00           8.00             25           184165.44                 300             1080.56
        9000.00           4.50             23             5462.37                 276               52.40
      200000.00          10.00             10           117161.77                 120             2643.01
      389303.00          15.00             15           591451.24                 180             5448.63
      293032.20          13.20             10           236158.30                 120             4409.92
      900000.00           6.70             30          1190700.65                 360             5807.50
      600000.00           5.20             15           265351.23                 180             4807.51
      480808.00           1.30             20            65469.47                 240             2276.16
      113341.00           5.60             30           120899.07                 360              650.67
